GemID;Gemeinde; ; ; ; ;GebID;Gebäude; ; ;Baujahr;m2;Jahr;ZId;Zähler;Typ;Einheit;Medium;MGruppe;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Jahr;MIND;MINW;MAXD;MAXW;MIND1;MINW1
579440;Achau;INV;31701;Mödling;;921138;Bauhof NEU und WSZ;BH;02;2020;357;2025;921149;Erdgas Hauptzähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;580060;Feuerwehrhaus;FF;01;2000;1021;2025;588436;Erdgas Hauptzähler;H;m³;NGas;Wärme;709,47;640,81;709,47;454,36;109,55;106,02;109,55;90,66;134,66;249,76;589,46;626,93;4.530,70;18.04.2025;2815;29.12.2025;670,171;;
579440;Achau;INV;31701;Mödling;;580057;Gemeindeamt;GA;01;1907;479;2025;588184;Erdgas Hauptzähler;H;m³;NGas;Wärme;619,23;559,3;619,23;599,25;527,48;48,75;50,38;22,97;110,63;311,08;669,97;823,47;4.961,74;26.05.2025;3216;29.12.2025;880,266;;
579440;Achau;INV;31701;Mödling;;580059;Volksschule mit Hort;VS;02;1910;1440;2025;611700;Erdgas Hauptzähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;580059;Volksschule mit Hort;VS;02;1910;1440;2025;588304;Erdgas Hauptzähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;580059;Volksschule mit Hort;VS;02;1910;1440;2025;753498;Erdgas VS Hauptzähler neu;H;m³;NGas;Wärme;;;;;7.841,00;;;1.252,00;221,3;1.262,63;;3.593,06;;26.05.2025;7841;29.12.2025;3593,06;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950501;Gas Wohnung 01;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950542;Gas Wohnung 02;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950416;Gas Wohnung 03;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950518;Gas Wohnung 04;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950555;Gas Wohnung 05;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950434;Gas Wohnung 06;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950531;Gas Wohnung 07;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579440;Achau;INV;31701;Mödling;;950320;Wohnhaus Hauptstr. 41 Stg. 1;WG;01;1952;295;2025;950452;Gas Wohnung 08;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579710;Aderklaa;WEV;30801;Gänserndorf;;582866;Feuerwehrhaus Aderklaa;FF;02;1998;273;2025;605606;Gaszähler FF-Haus Aderklaa;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579710;Aderklaa;WEV;30801;Gänserndorf;;582864;Gemeindeamt Aderklaa;GA;02;1954;47,22;2025;605584;Gaszähler Gemeindeamt Aderklaa;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579710;Aderklaa;WEV;30801;Gänserndorf;;841442;Gemeindeamt Neu Aderklaa;GA;01;2016;367;2025;843116;Stromzähler Wärmepumpe Gemeindeamt;H;kWh;ElectricityForHeating;Wärme;;;;;;;;;;;;;;;;;;;
579710;Aderklaa;WEV;30801;Gänserndorf;;582865;Kirche Aderklaa;SON;01;1964;192;2025;605599;Gaszähler Kirche Aderklaa;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;1112932;Feuerwehrhaus Willendorf;FF;01;2014;504,85;2025;1112888;Wärme FF-Haus Willendorf;H;l;Heizoel;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;584954;Gemeindeamt;GA;01;1995;707;2025;618108;Biowärme (ganzes Objekt);H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;584954;Gemeindeamt;GA;01;1995;707;2025;618110;Ölwärme-Gde-Anteil;H;l;Heizoel_EL;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;584958;Kindergarten;KG;01;1980;337,66;2025;822762;Pelletsheizung;H;kg;Pellets_Gewicht;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;584967;MZH Venussaal;VAZ;01;1994;800;2025;822768;Biowärme (ganzes Objekt);H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;1112930;Naherholungszentrum (NEZ);SON;01;2022;281;2025;1112912;Biowärme NEZ, Restaurant;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579669;Aggsbach;WAV;31301;Krems;;584966;Volksschule;VS;01;2007   saniert  Errichtet: ca. 1770;257;2025;820822;Biowärme Volksschule;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579820;Alberndorf im Pulkautal;WEV;31001;Hollabrunn;KEM Pulkautal;780222;Schule/Kindergarten;KG;02;1990;570;2025;779155;Gaszähler;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816958;Bücherei;SON;02;1970;88;2025;906088;Wärme Bibliothek 1 aut;H;kWh;Pellets;Wärme;740;685;478;270;156;12;4;4;24;376;578;670;3.997,00;01.01.2025;0;30.03.2025;0;01.01.2026;0
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816958;Bücherei;SON;02;1970;88;2025;885481;WMZ Bücherei;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816957;Doktor;AH;02;2017;179;2025;906076;Wärme Arzt 1 aut;H;kWh;Biowärme;Wärme;1.176,00;1.124,00;939;564;446;54;269;220;275;717;1.074,00;1.229,00;8.087,00;01.01.2025;0;30.03.2025;0;01.01.2026;0
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816957;Doktor;AH;02;2017;179;2025;885475;WMZ Doktor;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816956;FF Albrechtsberg;FF;02;1970;244;2025;905451;FF Albrechtsberg Biowärme aut;H;kWh;Biowärme;Wärme;1.643,00;1.456,00;1.025,00;400;42;0;0;0;270;73;853;1.508,00;7.270,00;01.01.2025;1;30.03.2025;0;01.01.2026;1
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816956;FF Albrechtsberg;FF;02;1970;244;2025;885445;WMZ Feuerwehr;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816946;FF ELS;FF;01;1990;182;2025;949003;FF Els Heizen;H;kWh;Elektrizität zum Heizen-erneuerbar;Wärme;348,47;367,59;82,84;57,34;44,55;115,51;33,17;42,14;29,41;44,63;66,06;241,96;1.473,66;01.01.2025;5,2104;31.12.2025;5,9046;01.01.2026;10,7262
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807010;FF Marbach;FF;01;1971;203;2025;943842;FF Marbach Heizung;H;kWh;Elektrizität zum Heizen-erneuerbar;Wärme;1.124,69;815,87;553,97;468,93;945,76;296,72;129,73;225,63;110,75;480,11;691,07;1.749,72;7.592,95;01.01.2025;24,3114;31.12.2025;34,3331;01.01.2026;38,5274
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;796371;Gemeindeamt;GA;02;1970;372;2025;906070;Wärme Gemeinde 1 aut;H;kWh;Biowärme;Wärme;2.316,00;2.123,00;1.427,00;784;504;18;18;17;146;1.267,00;1.889,00;2.357,00;12.866,00;01.01.2025;0;30.03.2025;0;01.01.2026;0
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;796371;Gemeindeamt;GA;02;1970;372;2025;885469;WMZ Gemeindeamt;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;845186;Kindergarten;KG;02;1983;140;2025;733208;WMZ FBH Kindergarten;H;kWh;Pellets;Wärme;2.127,00;1.869,00;1.257,00;644;510;1;0;0;171;1.045,00;1.517,00;1.426,00;10.567,00;01.01.2025;1;31.12.2025;0;01.01.2026;0
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;845186;Kindergarten;KG;02;1983;140;2025;733274;WMZ Lüftung Kindergarten;H;kWh;Pellets;Wärme;209;220;165;72;68;8;11;12;54;167;214;210;1.410,00;01.01.2025;0;31.12.2025;0;01.01.2026;0
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807020;Kultursaal;VAZ;01;1996;550;2025;733202;WMZ Lüftung & BWW Kultursaal;H;kWh;Pellets;Wärme;1.190,00;1.221,00;1.149,00;682;747;547;586;558;732;1.062,00;1.312,00;1.256,00;11.042,00;01.01.2025;1;31.12.2025;1;01.01.2026;1
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807020;Kultursaal;VAZ;01;1996;550;2025;733214;WMZ Radiatoren Kultursaal;H;kWh;Pellets;Wärme;7.207,00;6.403,00;4.503,00;2.218,00;784;0;0;1;584;4.466,00;5.836,00;5.426,00;37.428,00;01.01.2025;0;31.12.2025;8;01.01.2026;6
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816959;Musikheim;MS;02;1970;53;2025;906100;Wärme Musik 1 aut;H;kWh;Biowärme;Wärme;246;250;119;35;0;0;0;0;0;65;160;222;1.097,00;01.01.2025;0;30.03.2025;0;01.01.2026;0
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;816959;Musikheim;MS;02;1970;53;2025;885451;WMZ Musikheim;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;841266;NMS Els- Albrechtsberg;NM;01;1972;3001;2025;846165;Heizöl NMS Els;H;l;Heizoel_EL;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;841266;NMS Els- Albrechtsberg;NM;01;1972;3001;2025;919638;Wärmezähler MS Els;H;kWh;Pellets;Wärme;14.158,65;13.637,37;15.098,52;14.611,47;15.098,52;14.611,47;15.098,52;15.098,52;14.611,47;15.098,52;14.611,47;15.098,52;176.833,02;08.01.2025;90913;31.12.2025;173876,5;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;884440;Raika;SON;01;2020;88;2025;906082;Wärme Raika 1 aut;H;kWh;Biowärme;Wärme;1.287,00;1.260,00;914;536;318;57;0;0;75;603;887;1.132,00;7.069,00;01.01.2025;1;30.03.2025;0;01.01.2026;1
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;884440;Raika;SON;01;2020;88;2025;885457;WMZ Raika;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;845185;Volksschule;VS;01;1983;1138;2025;845490;Wärmeverbrauch VS;H;kWh;Pellets;Wärme;6.642,00;5.447,00;2.693,00;1.064,00;319;27;46;37;203;1.746,00;3.771,00;4.353,00;26.348,00;01.01.2025;83;31.12.2025;134;01.01.2026;186
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;731667;Volksschule und Kindergarten;VS;02;1990;0;2025;733256;WMZ Kessel;H;kWh;Heat;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807018;Wohngebäude Albrechtsberg 42;WG;01;1930;230;2025;843149;Pelletsverbrauch Albg. 42;H;kg;Pellets_Gewicht;Wärme;1.710,11;789,31;692,09;669,77;692,09;669,77;692,09;692,09;669,77;692,09;669,77;66,98;8.705,93;05.02.2025;5020;03.12.2025;6720;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807005;Wohnhaus Els 26 allgemein;WG;01;1993;412;2025;843135;Wärmezähler Els 26 (Wansch);H;kWh;Heat;Wärme;;;;;;;;;;;;;;;;;;;
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807005;Wohnhaus Els 26 allgemein;WG;01;1993;412;2025;845465;Wärmezähler Els 26 (Wansch);H;kWh;Pellets;Wärme;3.040,30;3.058,04;3.385,69;3.276,48;3.385,69;3.276,48;3.385,69;3.385,69;3.276,48;3.385,69;3.276,48;3.385,69;39.518,39;08.01.2025;23709;08.01.2025;23709;09.01.2026;39973
579720;Albrechtsberg;WAV;31302;Krems;KEM Kernland;807019;Wohnungsgebäude Albrechtsberg 80;WG;01;1995;364;2025;843267;Wärmezähler Albg. 80;H;kWh;Pellets;Wärme;6.484,08;3.387,78;2.995,58;5.497,51;6.093,86;1.514,09;1.294,20;1.504,12;2.314,61;4.941,04;4.862,90;6.456,84;47.346,61;02.01.2025;5967;02.12.2025;10050;05.01.2026;7190
579754;Allentsteig;WAV;32501;Zwettl;KEM ASTEG;582532;GKG01;;;1971;665,02;2025;613779;NÖ Landeskindergarten WÄRME;H;kWh;Heat;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988386;Bauhof;BH;01;2018;97;2025;862873;Wärme;H;MWh;Biowärme;Wärme;14,48;15,47;9,65;3,09;2,81;0,36;0;0;1,83;4,05;6,83;8,2;66,79;13.01.2025;15,406;04.12.2025;4,259;14.01.2026;10,601
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988374;Feuerwehr_Allhartsberg;FF;01;2004;972;2025;712330;Fernwärme 19%;H;MWh;Biowärme;Wärme;1,63;1,47;1,63;1,58;1,63;0,63;;;;;;;;01.01.2025;0,0525;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988375;Feuerwehr_Hiesbach;FF;01;2005;476;2025;713028;Pelletsheizung;H;kg;Pellets_Gewicht;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988376;Feuerwehr_Wallmersdorf;FF;01;2012;249;2025;803009;Strom alt Heizung 70%;H;kWh;Elektrizität zum Heizen-erneuerbar;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988376;Feuerwehr_Wallmersdorf;FF;01;2012;249;2025;1022855;Strom Heizung WP ab 10/23;H;kWh;Elektrizität zum Heizen-erneuerbar;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988376;Feuerwehr_Wallmersdorf;FF;01;2012;249;2025;1066719;Umgebungswärme Wärmepumpe;H;kWh;Biowärmepumpe;Wärme;;;;;;;;;;;;;;01.01.2025;55,0645;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988376;Feuerwehr_Wallmersdorf;FF;01;2012;249;2025;889647;z_Strom Heizung 70% bis 10/23;H;kWh;Elektrizität zum Heizen-erneuerbar;Wärme;;;;;;;;;;;;;;01.01.2025;;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988377;Gemeindeamt;GA;01;1993;528;2025;711884;Fernwärme 57%;H;kWh;Biowärme;Wärme;4.636,74;4.591,26;3.524,63;1.320,29;1.059,55;257,92;96,89;74,15;775,21;2.114,65;3.987,69;5.377,11;27.816,08;01.01.2025;131,9477;31.12.2025;171,3337;01.01.2026;171,3337
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988378;Kindergarten_Allhartsberg;KG;01;1992;516;2025;713347;Wärme 65%;H;kWh;Biowärme;Wärme;6.277,52;5.939,47;4.317,68;1.969,99;1.970,30;845,07;569,42;405;655,06;2.614,53;4.340,66;5.661,61;35.566,30;01.01.2025;182,325;31.12.2025;187,4378;01.01.2026;187,4378
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988379;Kindergarten_Kröllendorf;KG;01;2007;736;2025;857714;Heizung Wärmepumpe 60% Berechnung JAZ 2,5;H;kWh;Biowärmepumpe;Wärme;25.734,07;29.323,65;27.068,68;12.048,55;11.470,65;3.438,12;2.644,44;2.839,25;5.586,76;11.766,19;14.785,45;8.729,81;155.435,62;01.01.2025;610,5012;31.12.2025;267,5411;01.01.2026;267,5411
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988382;Mittelschule;NM;01;2012;3325;2025;712405;Fernwärme 60% alt;H;MWh;Biowärme;Wärme;;;;;;;;;;;;;;01.01.2025;;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988382;Mittelschule;NM;01;2012;3325;2025;949125;Wärme MS 60%;H;MWh;Biowärme;Wärme;27,85;22,17;23,3;6,65;4,08;0,47;;;;;;;;01.01.2025;0,7914;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988381;Musikschule;MS;01;1997;1168;2025;712280;Fernwärme 41%;H;MWh;Biowärme;Wärme;3,51;3,17;3,51;3,4;3,51;1,36;;;;;;;;01.01.2025;0,1133;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988380;Musikverein;MH;01;2012;664;2025;712305;Fernwärme 40%;H;MWh;Biowärme;Wärme;3,43;3,09;3,43;3,32;3,43;1,33;;;;;;;;01.01.2025;0,1105;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988373;Sportverein_Kröllendorf;SON;01;1992;716;2025;857732;Heizung Wärmepumpe 40% alt;H;kWh;Wärmepumpe;Wärme;;;;;;;;;;;;;;01.01.2025;;01.01.2025;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988373;Sportverein_Kröllendorf;SON;01;1992;716;2025;889635;Heizung Wärmepumpe 40% Berechnung JAZ 2,5;H;kWh;Biowärmepumpe;Wärme;17.156,05;19.549,10;18.045,79;8.032,37;7.647,10;2.292,08;1.762,96;1.892,83;3.724,51;7.844,13;9.856,97;5.819,87;103.623,75;01.01.2025;407,0008;31.12.2025;178,3607;01.01.2026;178,3607
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;580030;Vereinshaus;VAZ;02;;1800;2025;588314;Fernwärme;H;MWh;BioHeat;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988383;Volksschule;VS;01;2004;2543;2025;712423;Fernwärme 40% alt;H;MWh;Biowärme;Wärme;;;;;;;;;;;;;;01.01.2025;;31.12.2025;;01.01.2026;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;708834;Volksschule;VS;01;2004;2217;2025;925685;Wärme Volksschule;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;708834;Volksschule;VS;01;2004;2217;2025;924591;Wärme Volksschule;H;kWh;Biowärme;Wärme;;;;;;;;;;;;;;;;;;;
579394;Allhartsberg;MOV;30501;Amstetten;KEM Amstetten Süd;988383;Volksschule;VS;01;2004;2543;2025;949107;Wärme VS 40 %;H;MWh;Biowärme;Wärme;18,57;14,78;15,53;4,43;2,72;0,31;;;;;;;;01.01.2025;0,5276;31.12.2025;;01.01.2026;
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;927503;Bauhof;BH;01;2021;290;2025;927589;Strom Wärmepumpe;H;kWh;Biowärmepumpe;Wärme;2.249,00;1.550,00;625;252;88;60;76;62;85;637;1.068,00;1.894,00;8.646,00;31.01.2025;2249;31.12.2025;1894;31.01.2026;3115
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581042;FF-Haus Altenburg;FF;01;1991;236;2025;593788;Pellets;H;kWh;Pellets;Wärme;1.767,00;1.538,00;1.105,00;586;218;13;61;50;69;722;1.291,00;1.563,00;8.983,00;31.01.2025;1767;31.12.2025;1563;31.01.2026;2153
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581044;FF-Haus Fuglau;FF;01;1986;204;2025;619224;Ölverbrauch;H;l;Heizoel_EL;Wärme;400;150;100;0;0;0;0;0;0;0;0;0;650;31.01.2025;400;31.12.2025;0;31.01.2026;0
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581035;Gemeindeamt;GA;01;1893;296;2025;740426;Flüssiggas Ausgabezähler;H;kWh;Fluessiggas;Wärme;;;;;;;;;;;;;;01.01.2025;;31.12.2025;;01.01.2026;
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581035;Gemeindeamt;GA;01;1893;296;2025;778077;Pellets ab 1.7.2016;H;kg;Pellets_Gewicht;Wärme;1.450,00;1.090,00;810;490;370;50;0;0;110;590;950;1.040,00;6.950,00;31.01.2025;1450;31.12.2025;1040;31.01.2026;1460
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581040;Jugendzentrum Altenburg;SON;01;1970;110;2025;893483;Wärmezähler Wärmepumpe;H;kWh;Wärmepumpe;Wärme;4.172,00;3.325,00;2.650,00;1.664,00;1.540,00;280;224;196;517;2.112,00;3.245,00;3.613,00;23.538,00;31.01.2025;4172;31.12.2025;3613;31.01.2026;4695
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581038;Kindergarten;KG;01;1995;501,4;2025;796281;Heizöl-Ausgabezähler;H;kWh;Heizoel_EL;Wärme;;;;;;;;;;;;;;01.01.2025;;31.12.2025;;01.01.2026;
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581038;Kindergarten;KG;01;1995;501,4;2025;927553;Wärme (Pellets) Ausgabezähler;H;kWh;Biowärme;Wärme;17.230,00;14.359,00;11.179,00;5.226,00;4.433,00;0;0;0;1.872,00;7.555,00;11.686,00;10.642,00;84.182,00;01.01.2025;520,0645;31.12.2025;343,2903;01.01.2026;343,2903
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581038;Kindergarten;KG;01;1995;501,4;2025;593739;Wärmezähler;H;kWh;Heat;Wärme;;;;;;;;;;;;;;;;;;;
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581036;Volksschule;VS;01;1998;1258,58;2025;747351;Heizöl-Ausgabezähler;H;kWh;Heizoel_EL;Wärme;;;;;;;;;;;;;;01.01.2025;;31.12.2025;;01.01.2026;
579673;Altenburg;WAV;31101;Horn;KEM Wohlviertel;581036;Volksschule;VS;01;1998;1258,58;2025;927565;Wärmezähler VS;H;kWh;Biowärme;Wärme;18.770,00;16.361,00;12.821,00;7.734,00;4.687,00;0;0;0;1.488,00;9.245,00;14.714,00;16.238,00;102.058,00;31.01.2025;18770;31.12.2025;16238;31.01.2026;21474
1107045;Altendorf;INV;31801;Neunkirchen;KEM Schwarzatal;1107064;Gemeindeamt;GA;02;1994;455;2025;1107090;Hackschnitzel;H;kWh;Hackschnitzel;Wärme;;;;;;;;;;;;;;;;;;;
1107045;Altendorf;INV;31801;Neunkirchen;KEM Schwarzatal;1107065;Mehrzweckhalle und Sport;VAZ;02;2002;745;2025;1112518;Hackschnitzel;H;kWh;Hackschnitzel;Wärme;;;;;;;;;;;;;;;;;;;
579587;Altlengbach;NOM;31901;St.Pölten Land;KEM Elsbeere;582876;Feuerwehr;FF;01;2004;642,19;2025;1027628;Fernwärmezähler Feuerwehr;H;MWh;Biowärme;Wärme;8,05;6,43;3,79;1,43;0,88;0,09;;;;;;;;31.01.2025;8,049;30.06.2025;0,094;;
579587;Altlengbach;NOM;31901;St.Pölten Land;KEM Elsbeere;582876;Feuerwehr;FF;01;2004;642,19;2025;752242;Gaszähler Feuerwehr;H;m³;NGas;Wärme;;;;;;;;;;;;;;;;;;;
