ReadingYear;GemID;Gemeinde;GebID;Gebäudename;ZId;Zähler;Baujahr;m2;Einheit;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;AnnualTotal
2025;30201;Testgemeinde Baden;02009;Bibliothek Baden;ATLEBTEST0000000019;Stromzähler 9;1977;2687,00;kWh;4099,35;3942,56;3807,06;3495,48;2956,28;2554,88;2643,09;2876,86;2987,36;3167,00;3607,62;3936,72;40074,26
2025;30201;Testgemeinde Baden;02010;Mehrzweckhalle Baden;ATLEBTEST0000000020;Stromzähler 10;1964;1584,00;kWh;9006,87;8848,42;7283,35;7257,38;5924,47;6494,80;5843,59;5573,47;7115,41;7096,92;9470,06;10366,36;90281,10
2025;30301;Testgemeinde Gänserndorf;03001;Gemeindeamt Gänserndorf;ATLEBTEST0000000021;Stromzähler 1;1956;1315,00;kWh;10123,63;9145,74;9275,06;6972,03;6714,57;6633,60;5966,56;5760,86;7499,04;8904,50;8362,33;11117,55;96475,47
2025;30301;Testgemeinde Gänserndorf;03002;Volksschule Gänserndorf;ATLEBTEST0000000022;Stromzähler 2;2013;2694,00;kWh;4899,16;5043,89;4328,41;3840,34;3840,87;3350,76;3225,65;3138,09;3708,91;3952,05;5240,07;5809,71;50377,91
2025;30301;Testgemeinde Gänserndorf;03003;Kindergarten Gänserndorf;ATLEBTEST0000000023;Stromzähler 3;1994;1795,00;kWh;5053,23;4502,46;3947,81;3971,00;3466,26;3062,75;3101,22;3293,48;3509,57;4399,80;4987,97;5003,27;48298,82
2025;30301;Testgemeinde Gänserndorf;03004;Feuerwehrhaus Gänserndorf;ATLEBTEST0000000024;Stromzähler 4;1979;2644,00;kWh;2580,30;2276,84;2092,04;2135,48;1969,22;1714,77;1716,32;1744,11;1972,54;2183,85;2215,60;2393,42;24994,49
2025;30301;Testgemeinde Gänserndorf;03005;Bauhof Gänserndorf;ATLEBTEST0000000025;Stromzähler 5;2015;1698,00;kWh;1408,78;1572,42;1348,25;1174,58;1142,67;1087,00;982,31;1046,60;1011,29;1273,25;1550,22;1546,45;15143,82
2025;30301;Testgemeinde Gänserndorf;03006;Sporthalle Gänserndorf;ATLEBTEST0000000026;Stromzähler 6;1955;1547,00;kWh;5181,11;4411,53;4394,86;3869,69;3148,31;2864,03;3229,11;3366,22;3706,85;4362,35;4416,79;5133,54;48084,39
2025;30301;Testgemeinde Gänserndorf;03007;Kulturzentrum Gänserndorf;ATLEBTEST0000000027;Stromzähler 7;1977;3408,00;kWh;6905,09;6176,77;6229,08;5626,02;5331,56;4305,44;4818,39;4248,80;4946,79;6075,20;6010,87;7896,15;68570,16
2025;30301;Testgemeinde Gänserndorf;03008;Musikschule Gänserndorf;ATLEBTEST0000000028;Stromzähler 8;2011;3128,00;kWh;4941,23;4956,72;3923,17;4078,11;3276,47;2810,95;3129,96;2929,95;3171,26;3763,55;4745,66;4750,33;46477,36
2025;30301;Testgemeinde Gänserndorf;03009;Bibliothek Gänserndorf;ATLEBTEST0000000029;Stromzähler 9;2014;652,00;kWh;7280,72;7134,75;6765,29;6210,29;5404,02;5374,66;5118,20;5392,01;5347,60;6201,37;7244,21;8230,37;75703,49
2025;30301;Testgemeinde Gänserndorf;03010;Mehrzweckhalle Gänserndorf;ATLEBTEST0000000030;Stromzähler 10;2012;4158,00;kWh;4741,92;3807,19;3873,43;3106,86;2921,12;2739,52;2474,00;2573,32;2963,90;3542,16;4272,49;4212,26;41228,17
2025;30401;Testgemeinde Gmünd;04001;Gemeindeamt Gmünd;ATLEBTEST0000000031;Stromzähler 1;1959;2383,00;kWh;7289,43;6465,22;6463,41;5071,60;4421,85;4008,20;3857,85;4322,07;4880,36;5276,61;6436,81;7316,58;65809,99
2025;30401;Testgemeinde Gmünd;04002;Volksschule Gmünd;ATLEBTEST0000000032;Stromzähler 2;1984;4087,00;kWh;1613,74;1515,82;1467,83;1332,15;1327,64;1085,43;1051,57;1025,30;1235,03;1365,40;1486,66;1961,78;16468,35
2025;30401;Testgemeinde Gmünd;04003;Kindergarten Gmünd;ATLEBTEST0000000033;Stromzähler 3;1971;3752,00;kWh;4326,03;4180,29;4264,96;3825,50;3334,63;3169,08;2954,36;2687,08;3430,24;4090,06;4459,56;4658,28;45380,07
2025;30401;Testgemeinde Gmünd;04004;Feuerwehrhaus Gmünd;ATLEBTEST0000000034;Stromzähler 4;1994;1663,00;kWh;5446,79;4630,53;4860,06;4572,34;4092,70;3518,83;3196,32;3603,05;3957,51;4138,61;5389,93;5894,42;53301,09
2025;30401;Testgemeinde Gmünd;04005;Bauhof Gmünd;ATLEBTEST0000000035;Stromzähler 5;1955;266,00;kWh;1598,43;1704,70;1662,15;1519,21;1337,67;1236,20;1158,10;1114,41;1345,87;1598,17;1471,71;1939,09;17685,71
2025;30401;Testgemeinde Gmünd;04006;Sporthalle Gmünd;ATLEBTEST0000000036;Stromzähler 6;1963;587,00;kWh;2900,08;2516,67;2639,44;2493,63;2086,41;1936,35;1964,43;1953,03;2115,96;2302,75;2473,63;3087,42;28469,80
2025;30401;Testgemeinde Gmünd;04007;Kulturzentrum Gmünd;ATLEBTEST0000000037;Stromzähler 7;1976;3506,00;kWh;2919,95;2769,54;2621,22;2249,24;2127,88;2065,73;1814,82;2004,29;2330,53;2229,52;2668,99;2896,96;28698,67
2025;30401;Testgemeinde Gmünd;04008;Musikschule Gmünd;ATLEBTEST0000000038;Stromzähler 8;1958;703,00;kWh;2419,40;2389,98;1871,24;1752,31;1706,61;1540,56;1368,22;1656,02;1768,02;1861,66;2045,09;2511,31;22890,42
2025;30401;Testgemeinde Gmünd;04009;Bibliothek Gmünd;ATLEBTEST0000000039;Stromzähler 9;1960;1162,00;kWh;2945,81;3081,90;2421,79;2499,52;2144,73;1945,45;1854,65;1896,07;2050,37;2649,78;3118,07;3507,92;30116,06
2025;30401;Testgemeinde Gmünd;04010;Mehrzweckhalle Gmünd;ATLEBTEST0000000040;Stromzähler 10;1975;1138,00;kWh;3394,81;3226,17;3161,72;2629,85;2425,44;2389,29;2326,10;2214,30;2719,83;3015,65;3113,16;3371,03;33987,35
2025;30501;Testgemeinde Hollabrunn;05001;Gemeindeamt Hollabrunn;ATLEBTEST0000000041;Stromzähler 1;1997;605,00;kWh;3918,70;3948,27;3157,84;2875,77;2447,02;2633,84;2392,79;2599,34;3003,66;3135,22;3472,25;4123,74;37708,44
2025;30501;Testgemeinde Hollabrunn;05002;Volksschule Hollabrunn;ATLEBTEST0000000042;Stromzähler 2;1998;1993,00;kWh;2796,15;3127,88;2855,05;2411,29;1929,30;1823,52;1735,92;1824,54;2116,94;2682,37;2674,96;3261,73;29239,65
2025;30501;Testgemeinde Hollabrunn;05003;Kindergarten Hollabrunn;ATLEBTEST0000000043;Stromzähler 3;2014;1695,00;kWh;6813,98;7287,55;6899,38;5429,33;5730,94;4704,00;4475,11;4307,85;5118,54;6463,36;6218,18;7119,89;70568,11
2025;30501;Testgemeinde Hollabrunn;05004;Feuerwehrhaus Hollabrunn;ATLEBTEST0000000044;Stromzähler 4;1963;3017,00;kWh;4340,34;4066,73;3846,60;3366,44;2689,48;2734,32;2514,88;2779,20;3274,12;3415,82;4115,33;4169,25;41312,51
2025;30501;Testgemeinde Hollabrunn;05005;Bauhof Hollabrunn;ATLEBTEST0000000045;Stromzähler 5;1987;1353,00;kWh;5386,31;5381,20;4547,88;4322,29;3819,03;3802,44;3833,33;3353,74;4459,65;4716,20;5655,98;5889,78;55167,83
2025;30501;Testgemeinde Hollabrunn;05006;Sporthalle Hollabrunn;ATLEBTEST0000000046;Stromzähler 6;1987;1744,00;kWh;8508,65;8509,20;7811,16;7275,07;5835,84;5983,06;5319,79;5269,34;6264,77;7496,12;7571,84;8592,59;84437,43
2025;30501;Testgemeinde Hollabrunn;05007;Kulturzentrum Hollabrunn;ATLEBTEST0000000047;Stromzähler 7;1998;3314,00;kWh;4463,99;4981,95;4516,97;3582,50;3293,40;3465,65;2784,93;2887,40;3954,35;4290,76;4467,76;5566,49;48256,15
2025;30501;Testgemeinde Hollabrunn;05008;Musikschule Hollabrunn;ATLEBTEST0000000048;Stromzähler 8;2021;393,00;kWh;3919,29;3669,28;3613,00;3294,55;2764,20;2650,72;2395,82;2893,47;2876,88;3632,74;3892,57;3891,03;39493,55
2025;30501;Testgemeinde Hollabrunn;05009;Bibliothek Hollabrunn;ATLEBTEST0000000049;Stromzähler 9;1974;2908,00;kWh;2650,53;2544,60;2032,69;1785,12;1743,27;1584,72;1485,95;1573,21;1863,77;1893,23;2260,58;2694,39;24112,06
2025;30501;Testgemeinde Hollabrunn;05010;Mehrzweckhalle Hollabrunn;ATLEBTEST0000000050;Stromzähler 10;1982;301,00;kWh;2417,38;2180,74;1944,08;1879,51;1792,85;1406,30;1596,51;1406,05;1583,88;2017,05;2080,11;2496,10;22800,56
2025;30601;Testgemeinde Horn;06001;Gemeindeamt Horn;ATLEBTEST0000000051;Stromzähler 1;1980;504,00;kWh;5694,14;5565,67;5109,94;4612,53;4090,57;3480,79;3582,33;3440,92;4403,98;5004,48;5510,02;5669,88;56165,25
2025;30601;Testgemeinde Horn;06002;Volksschule Horn;ATLEBTEST0000000052;Stromzähler 2;1969;1096,00;kWh;8318,30;8463,45;7651,64;6182,37;6191,93;4882,49;5543,73;4749,78;5555,97;6659,41;6896,08;9239,61;80334,76
2025;30601;Testgemeinde Horn;06003;Kindergarten Horn;ATLEBTEST0000000053;Stromzähler 3;1998;1061,00;kWh;9233,69;9757,57;8258,00;7388,29;7363,63;6482,29;6817,61;6904,53;6886,67;8183,25;8717,11;11332,05;97324,69
2025;30601;Testgemeinde Horn;06004;Feuerwehrhaus Horn;ATLEBTEST0000000054;Stromzähler 4;1980;3539,00;kWh;6163,53;5804,42;5337,25;5144,63;4255,69;4140,05;3604,03;4096,61;4563,55;4882,56;5556,65;6382,87;59931,84
2025;30601;Testgemeinde Horn;06005;Bauhof Horn;ATLEBTEST0000000055;Stromzähler 5;2021;4045,00;kWh;4934,25;4858,13;4878,70;4004,00;3722,61;3577,06;3500,42;2995,08;3872,59;3963,21;5107,79;4971,59;50385,43
2025;30601;Testgemeinde Horn;06006;Sporthalle Horn;ATLEBTEST0000000056;Stromzähler 6;1994;2926,00;kWh;9423,86;9356,24;9256,46;8090,17;6507,42;6351,91;6512,73;6566,17;6631,40;8634,75;8495,48;10133,31;95959,90
2025;30601;Testgemeinde Horn;06007;Kulturzentrum Horn;ATLEBTEST0000000057;Stromzähler 7;1989;3443,00;kWh;1233,95;1152,20;979,63;973,49;932,11;857,46;707,74;820,15;891,75;993,75;1219,14;1237,42;11998,79
2025;30601;Testgemeinde Horn;06008;Musikschule Horn;ATLEBTEST0000000058;Stromzähler 8;1963;1191,00;kWh;1273,40;1311,52;1244,80;1025,57;1008,45;809,78;835,90;827,85;1032,68;1163,99;1239,59;1405,12;13178,65
2025;30601;Testgemeinde Horn;06009;Bibliothek Horn;ATLEBTEST0000000059;Stromzähler 9;1972;3286,00;kWh;1624,39;1679,15;1497,20;1336,22;1158,23;1139,91;1121,74;1153,73;1170,71;1250,56;1475,58;1690,38;16297,80
2025;30601;Testgemeinde Horn;06010;Mehrzweckhalle Horn;ATLEBTEST0000000060;Stromzähler 10;1972;2722,00;kWh;2153,89;2209,08;1908,64;1931,33;1800,83;1657,81;1332,02;1490,54;1815,67;2062,20;2271,15;2342,33;22975,49
2025;30701;Testgemeinde Korneuburg;07001;Gemeindeamt Korneuburg;ATLEBTEST0000000061;Stromzähler 1;1978;3268,00;kWh;8331,97;7160,85;7223,97;6868,95;5551,17;5114,08;5075,38;5818,84;5916,20;6876,43;8184,16;8080,72;80202,72
2025;30701;Testgemeinde Korneuburg;07002;Volksschule Korneuburg;ATLEBTEST0000000062;Stromzähler 2;1971;597,00;kWh;1337,67;1364,95;1289,77;1057,50;959,41;941,22;779,67;872,77;987,89;1110,74;1231,06;1365,79;13298,44
2025;30701;Testgemeinde Korneuburg;07003;Kindergarten Korneuburg;ATLEBTEST0000000063;Stromzähler 3;1987;3426,00;kWh;1677,45;1422,12;1390,68;1384,29;1080,85;1119,96;1101,63;1068,86;1259,18;1473,00;1589,95;1714,62;16282,59
2025;30701;Testgemeinde Korneuburg;07004;Feuerwehrhaus Korneuburg;ATLEBTEST0000000064;Stromzähler 4;1966;3656,00;kWh;1535,49;1428,32;1343,47;1111,36;918,92;1008,03;866,29;974,13;1077,66;1172,33;1356,40;1452,10;14244,50
2025;30701;Testgemeinde Korneuburg;07005;Bauhof Korneuburg;ATLEBTEST0000000065;Stromzähler 5;1970;3284,00;kWh;4313,71;4296,88;3906,87;3407,64;3136,60;2995,56;2599,60;3004,68;2885,55;3425,30;3603,98;4622,20;42198,57
2025;30701;Testgemeinde Korneuburg;07006;Sporthalle Korneuburg;ATLEBTEST0000000066;Stromzähler 6;1983;2435,00;kWh;4022,27;3780,99;3575,02;3350,88;3089,20;2725,52;2497,52;2596,15;2711,78;3383,47;3775,06;4462,75;39970,61
2025;30701;Testgemeinde Korneuburg;07007;Kulturzentrum Korneuburg;ATLEBTEST0000000067;Stromzähler 7;1987;4112,00;kWh;8929,44;8725,20;7281,91;6973,17;6445,42;4996,88;4813,94;5982,80;6142,76;6765,63;8343,45;9662,05;85062,65
2025;30701;Testgemeinde Korneuburg;07008;Musikschule Korneuburg;ATLEBTEST0000000068;Stromzähler 8;1988;2967,00;kWh;3854,40;3736,03;3575,40;3278,67;3024,06;2457,30;2246,85;2713,57;2660,30;3291,55;3513,89;3810,18;38162,20
2025;30701;Testgemeinde Korneuburg;07009;Bibliothek Korneuburg;ATLEBTEST0000000069;Stromzähler 9;2008;2042,00;kWh;4134,59;3837,04;3714,40;2967,63;2746,13;2713,98;2386,05;2579,69;2752,47;3358,91;4047,31;4274,25;39512,45
2025;30701;Testgemeinde Korneuburg;07010;Mehrzweckhalle Korneuburg;ATLEBTEST0000000070;Stromzähler 10;1986;4065,00;kWh;9236,02;9122,65;7246,71;6946,27;6280,29;5186,91;5214,90;5307,21;6434,76;6997,91;7785,75;9893,82;85653,20
2025;30801;Testgemeinde Krems;08001;Gemeindeamt Krems;ATLEBTEST0000000071;Stromzähler 1;1997;909,00;kWh;3817,58;3919,18;3498,80;3342,20;3102,20;2683,73;2863,21;2865,48;3333,36;3347,29;3633,05;4065,39;40471,47
2025;30801;Testgemeinde Krems;08002;Volksschule Krems;ATLEBTEST0000000072;Stromzähler 2;1969;1737,00;kWh;2294,68;2229,66;1922,14;1875,67;1422,32;1557,39;1416,89;1438,13;1537,05;1666,82;1896,38;2250,59;21507,72
2025;30801;Testgemeinde Krems;08003;Kindergarten Krems;ATLEBTEST0000000073;Stromzähler 3;1987;1393,00;kWh;5402,25;5811,47;4627,56;4507,94;4041,31;3820,91;3435,90;3468,56;3711,19;4477,48;5194,08;5629,45;54128,10
2025;30801;Testgemeinde Krems;08004;Feuerwehrhaus Krems;ATLEBTEST0000000074;Stromzähler 4;2019;272,00;kWh;1884,03;1708,99;1575,33;1290,45;1194,50;1206,86;1115,14;1154,79;1223,27;1397,22;1555,59;1854,80;17160,97
2025;30801;Testgemeinde Krems;08005;Bauhof Krems;ATLEBTEST0000000075;Stromzähler 5;2014;309,00;kWh;4256,05;4642,46;3936,15;3377,97;3109,80;2811,86;2748,12;3039,29;3505,66;4091,86;3954,33;5164,37;44637,92
2025;30801;Testgemeinde Krems;08006;Sporthalle Krems;ATLEBTEST0000000076;Stromzähler 6;1975;510,00;kWh;2502,52;2236,47;2274,05;2110,59;1840,93;1594,04;1656,99;1701,22;1789,57;2203,73;2286,29;2663,69;24860,09
2025;30801;Testgemeinde Krems;08007;Kulturzentrum Krems;ATLEBTEST0000000077;Stromzähler 7;1983;925,00;kWh;4114,84;4029,94;3731,49;3270,23;3033,00;2457,20;2502,01;2385,00;2765,67;3408,80;3991,04;4265,66;39954,88
2025;30801;Testgemeinde Krems;08008;Musikschule Krems;ATLEBTEST0000000078;Stromzähler 8;2004;3004,00;kWh;5553,30;5001,84;4424,92;3908,18;3926,64;3516,48;3324,08;3254,80;3529,76;4023,30;5117,69;5569,97;51150,96
2025;30801;Testgemeinde Krems;08009;Bibliothek Krems;ATLEBTEST0000000079;Stromzähler 9;2015;2715,00;kWh;5019,29;4392,28;3655,90;3395,50;3308,51;2770,55;2721,05;2744,17;3226,78;3869,24;4516,90;5175,36;44795,53
2025;30801;Testgemeinde Krems;08010;Mehrzweckhalle Krems;ATLEBTEST0000000080;Stromzähler 10;1984;1701,00;kWh;4116,25;3812,11;3376,68;2843,24;2563,02;2223,83;2285,37;2523,05;2952,58;3255,71;3766,46;3773,07;37491,37
2025;30901;Testgemeinde Melk;09001;Gemeindeamt Melk;ATLEBTEST0000000081;Stromzähler 1;2006;1975,00;kWh;3932,89;4063,97;3599,19;2848,77;2876,79;2424,86;2624,13;2487,77;2727,97;2945,76;3286,08;4263,49;38081,67
2025;30901;Testgemeinde Melk;09002;Volksschule Melk;ATLEBTEST0000000082;Stromzähler 2;1970;3859,00;kWh;7981,17;6729,28;6902,51;5599,21;5888,56;4639,40;4312,11;4812,15;5762,14;6813,06;7521,25;8043,45;75004,29
2025;30901;Testgemeinde Melk;09003;Kindergarten Melk;ATLEBTEST0000000083;Stromzähler 3;1988;2363,00;kWh;4677,85;4660,18;3777,69;3675,40;2903,59;3143,33;2845,96;2787,35;3590,66;3987,54;3919,63;4435,01;44404,19
2025;30901;Testgemeinde Melk;09004;Feuerwehrhaus Melk;ATLEBTEST0000000084;Stromzähler 4;1973;2026,00;kWh;9571,67;8756,39;7391,11;7094,11;6572,58;5897,86;6074,57;5620,68;6502,15;8276,70;9084,55;9604,93;90447,30
2025;30901;Testgemeinde Melk;09005;Bauhof Melk;ATLEBTEST0000000085;Stromzähler 5;1958;2223,00;kWh;3749,57;3428,17;2975,50;2686,87;2805,17;2179,98;2378,15;2276,38;2579,92;3004,90;3687,07;3494,08;35245,76
2025;30901;Testgemeinde Melk;09006;Sporthalle Melk;ATLEBTEST0000000086;Stromzähler 6;2018;3223,00;kWh;1425,44;1306,60;1059,29;1068,61;892,64;868,55;803,40;849,63;990,27;1103,33;1244,36;1400,58;13012,70
2025;30901;Testgemeinde Melk;09007;Kulturzentrum Melk;ATLEBTEST0000000087;Stromzähler 7;1967;1562,00;kWh;3327,23;2868,08;2603,59;2499,88;2151,94;2013,27;1764,35;1839,29;2391,45;2709,34;2676,00;3129,74;29974,16
2025;30901;Testgemeinde Melk;09008;Musikschule Melk;ATLEBTEST0000000088;Stromzähler 8;2011;2467,00;kWh;9258,17;9725,79;7796,15;7978,08;6585,53;6376,77;5459,04;6041,24;6118,83;8295,17;8216,30;9473,93;91325,00
2025;30901;Testgemeinde Melk;09009;Bibliothek Melk;ATLEBTEST0000000089;Stromzähler 9;1993;3237,00;kWh;9994,12;8692,92;7513,82;7441,40;6654,80;6478,86;6201,58;5939,22;6434,74;7256,79;8971,27;10302,66;91882,18
2025;30901;Testgemeinde Melk;09010;Mehrzweckhalle Melk;ATLEBTEST0000000090;Stromzähler 10;1989;216,00;kWh;1490,39;1619,33;1496,54;1259,28;1115,18;1092,42;909,99;964,61;1294,18;1399,92;1431,88;1677,27;15750,99
2025;31001;Testgemeinde Mistelbach;10001;Gemeindeamt Mistelbach;ATLEBTEST0000000091;Stromzähler 1;2006;2694,00;kWh;4008,54;3915,35;3705,07;2939,05;2558,02;2594,77;2426,94;2671,98;2631,49;3303,90;3809,74;4271,84;38836,69
2025;31001;Testgemeinde Mistelbach;10002;Volksschule Mistelbach;ATLEBTEST0000000092;Stromzähler 2;1993;3678,00;kWh;1132,12;1167,44;990,79;915,67;871,32;825,09;738,88;756,96;876,96;976,52;1135,40;1322,26;11709,41
2025;31001;Testgemeinde Mistelbach;10003;Kindergarten Mistelbach;ATLEBTEST0000000093;Stromzähler 3;1967;1763,00;kWh;1514,82;1254,13;1210,52;1025,27;1065,32;991,08;889,24;905,63;1031,10;1251,22;1399,67;1542,52;14080,52
2025;31001;Testgemeinde Mistelbach;10004;Feuerwehrhaus Mistelbach;ATLEBTEST0000000094;Stromzähler 4;2001;3365,00;kWh;8383,63;8413,17;6864,17;6886,60;5422,21;5052,50;5379,52;5049,79;5811,55;6315,05;7562,10;8259,85;79400,14
2025;31001;Testgemeinde Mistelbach;10005;Bauhof Mistelbach;ATLEBTEST0000000095;Stromzähler 5;1995;2933,00;kWh;3664,09;3769,85;3211,12;2948,10;2754,83;2574,76;2369,88;2434,86;2489,03;3314,10;3115,71;3706,37;36352,70
2025;31001;Testgemeinde Mistelbach;10006;Sporthalle Mistelbach;ATLEBTEST0000000096;Stromzähler 6;2017;1489,00;kWh;4278,64;3840,48;3934,73;2991,14;2819,73;2663,89;2599,46;2829,70;2896,13;3583,83;3514,99;3979,16;39931,88
2025;31001;Testgemeinde Mistelbach;10007;Kulturzentrum Mistelbach;ATLEBTEST0000000097;Stromzähler 7;1979;3336,00;kWh;6718,30;6858,25;6023,80;6099,63;4823,84;4870,59;4437,83;4516,54;4699,45;6196,74;6133,43;7732,10;69110,50
2025;31001;Testgemeinde Mistelbach;10008;Musikschule Mistelbach;ATLEBTEST0000000098;Stromzähler 8;1982;1057,00;kWh;4563,68;3950,39;4230,96;3202,18;3403,11;2935,19;2576,49;3034,28;3433,70;3988,61;3789,50;4831,13;43939,22
2025;31001;Testgemeinde Mistelbach;10009;Bibliothek Mistelbach;ATLEBTEST0000000099;Stromzähler 9;2020;1412,00;kWh;1985,17;2148,55;1699,61;1573,03;1389,46;1265,08;1221,53;1294,89;1696,98;1817,41;1896,11;2228,50;20216,32
2025;31001;Testgemeinde Mistelbach;10010;Mehrzweckhalle Mistelbach;ATLEBTEST0000000100;Stromzähler 10;1973;1420,00;kWh;6719,74;5907,04;5652,97;5270,41;4414,61;4389,97;3956,08;4039,21;4254,18;5374,14;5528,25;7048,41;62555,01
